lesson_question_map_id ,lesson_id                            ,question_id                          ,order
                     1 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,0fb9aff7-7e8e-469e-9f9b-3e49e9afb7f7 ,   18
                     2 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,ccc46da7-9eea-4947-8609-c81569c08bc1 ,   22
                     3 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,338b61e7-0620-41ea-97f3-472620680606 ,    5
                     4 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,b9b86255-a734-4580-8985-e79ba9abee6e ,   25
                     5 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,9b436da3-a09f-4df0-9d96-627a6066ca96 ,   17
                     6 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,2f3a54b1-9a11-44ad-9489-e39d24d41449 ,   24
                     7 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,09866ff9-47b3-4d0e-afb8-e2ff3fbffb34 ,   14
                     8 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,51491e09-0d1d-4aa2-83a0-858907cefeda ,    2
                     9 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,a1fc025d-7868-42a5-b56e-bb8ad97c82e7 ,   19
                    10 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,ab5a798e-0220-47fa-a84c-7bc15cc6fae9 ,   30
                    11 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,56621cfd-1721-42a2-b093-567284472889 ,   21
                    12 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,7deff7d7-e66c-4c36-ad77-f1dbf2958a60 ,    6
                    13 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,cd8fbb6f-1c4e-435f-a9f1-470a10d7e41d ,   10
                    14 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,19f0dd98-1fda-45df-872e-c34954ad0561 ,   29
                    15 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,9411178a-c445-4f8d-81d1-92350e64ddff ,   31
                    16 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,a47236da-74c8-49a9-89a1-958beb09bbbd ,    4
                    17 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,21d180d5-0824-4bd3-9668-050821a79dfa ,   27
                    18 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,2fb40077-6755-4a18-8d97-0714c146925c ,    1
                    19 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,1ad41a4c-a18f-4782-b282-aae30c9f7775 ,   12
                    20 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,3116f038-4e86-45cd-a751-6057f59b8325 ,    9
                    21 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,e0861600-9715-42e9-bbea-e0e44886b323 ,   23
                    22 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,6c473ee8-7545-4145-ab0f-e85656fd1730 ,    3
                    23 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,543ebabb-e34b-4373-8f66-c241c2b58e59 ,   26
